formatted_nace	ISIC	Sub	NACE
Source	Target		
A	A		
56.1	561	01	5601
56.10	5610	10	5610
56.2	562	20	5620
56.21	5621	21	5621
56.29	5629	29	5629
56.3	563	03	5603
56.30	5630	30	5630
J	J		
58	58		5800
58.1	581	10	5810
58.11	5811	11	5811
58.12	5812	12	5812
58.13	5813	13	5813
58.14	5813	14	5814
58.19	5819	19	5819
58.2	582	20	5820
58.21	5820	21	5821
58.29	5820	29	5829
59	59		5900
59.1	591	10	5910
59.11	5911	11	5911
59.12	5912	12	5912
59.13	5913	13	5913
59.14	5914	14	5914
59.2	592	02	5902
59.20	5920	20	5920
60	60		6000
60.1	601	01	6001
60.10	6010	10	6010
60.2	602	02	6002
60.20	6020	20	6020
61	61		6100
61.1	611	01	6101
61.10	6110	10	6110
61.2	612	02	6102
61.20	6120	20	6120
61.3	613	03	6103
61.30	6130	30	6130
61.9	619	09	6109
61.90	6190	90	6190
62	62		6200
62.0	620	0	620
62.01	6201	01	6201
62.02	6202	02	6202
62.03	6202	03	6203
62.09	6209	09	6209
63	63		6300
63.1	631	10	6310
63.11	6311	11	6311
63.12	6312	12	6312
63.9	639	90	6390
63.91	6391	91	6391
63.99	6399	99	6399
K	K		
64	64		6400
64.1	641	10	6410
64.11	6411	11	6411
64.19	6419	19	6419
64.2	642	02	6402
64.20	6420	20	6420
64.3	643	03	6403
64.30	6430	30	6430
64.9	649	90	6490
64.91	6491	91	6491
64.92	6492	92	6492
64.99	6499	99	6499
65	65		6500
65.1	651	10	6510
65.11	6511	11	6511
65.12	6512	12	6512
65.2	652	02	6502
65.20	6520	20	6520
65.3	653	03	6503
65.30	6530	30	6530
66	66		6600
66.1	661	10	6610
66.11	6611	11	6611
66.12	6612	12	6612
66.19	6619	19	6619
66.2	662	20	6620
66.21	6621	21	6621
66.22	6622	22	6622
66.29	6629	29	6629
66.3	663	03	6603
66.30	6630	30	6630
L	L		
68	68		6800
68.1	681	01	6801
68.10	6810	10	6810
68.2	681	02	6802
68.20	6810	20	6820
68.3	682	30	6830
68.31	6820	31	6831
68.32	6820	32	6832
M	M		
69	69		6900
69.1	691	01	6901
69.10	6910	10	6910
69.2	692	02	6902
69.20	6920	20	6920
70	70		7000
70.1	701	01	7001
70.10	7010	10	7010
70.2	702	20	7020
70.21	7020	21	7021
70.22	7020	22	7022
71	71		7100
71.1	711	10	7110
71.11	7110	11	7111
71.12	7110	12	7112
71.2	712	02	7102
71.20	7120	20	7120
72	72		7200
72.1	721	10	7210
72.11	7210	11	7211
72.19	7210	19	7219
72.2	722	02	7202
72.20	7220	20	7220
73	73		7300
73.1	731	10	7310
73.11	7310	11	7311
73.12	7310	12	7312
73.2	732	02	7302
73.20	7320	20	7320
74	74		7400
74.1	741	01	7401
74.10	7410	10	7410
74.2	742	02	7402
74.20	7420	20	7420
74.3	749	03	7403
74.30	7490	30	7430
74.9	749	09	7409
74.90	7490	90	7490
75	75		75
75.0	750	0	750
75.00	7500	0	7500
N	N		
77	77		7700
77.1	771	10	7710
77.11	7710	11	7711
77.12	7710	12	7712
77.2	772	20	7720
77.21	7721	21	7721
77.22	7722	22	7722
77.29	7729	29	7729
77.3	773	30	7730
77.31	7730	31	7731
77.32	7730	32	7732
77.33	7730	33	7733
77.34	7730	34	7734
77.35	7730	35	7735
77.39	7730	39	7739
77.4	774	04	7704
77.40	7740	40	7740
78	78		7800
78.1	781	01	7801
78.10	7810	10	7810
78.2	782	02	7802
78.20	7820	20	7820
78.3	783	03	7803
78.30	7830	30	7830
79	79		7900
79.1	791	10	7910
79.11	7911	11	7911
79.12	7912	12	7912
79.9	799	09	7909
79.90	7990	90	7990
80	80		8000
80.1	801	01	8001
80.10	8010	10	8010
80.2	802	02	8002
80.20	8020	20	8020
80.3	803	03	8003
80.30	8030	30	8030
81	81		8100
81.1	811	01	8101
81.10	8110	10	8110
81.2	812	20	8120
81.21	8121	21	8121
81.22	8129	22	8122
81.29	8129	29	8129
81.3	813	03	8103
81.30	8130	30	8130
82	82		8200
82.1	821	10	8210
82.11	8211	11	8211
82.19	8219	19	8219
82.2	822	02	8202
82.20	8220	20	8220
82.3	823	03	8203
82.30	8230	30	8230
82.9	829	90	8290
82.91	8291	91	8291
82.92	8292	92	8292
82.99	8299	99	8299
O	O		
84	84		8400
84.1	841	10	8410
84.11	8411	11	8411
84.12	8412	12	8412
84.13	8413	13	8413
84.2	842	20	8420
84.21	8421	21	8421
84.22	8422	22	8422
84.23	8423	23	8423
84.24	8423	24	8424
84.25	8423	25	8425
84.3	843	03	8403
84.30	8430	30	8430
P	P		
85	85		8500
85.1	851	01	8501
85.10	8510	10	8510
85.2	851	02	8502
85.20	8510	20	8520
85.3	852	30	8530
85.31	8521	31	8531
85.32	8522	32	8532
85.4	853	40	8540
85.41	8530	41	8541
85.42	8530	42	8542
85.5	854	50	8550
85.51	8541	51	8551
85.52	8542	52	8552
85.53	8549	53	8553
85.59	8549	59	8559
85.6	855	06	8506
85.60	8550	60	8560
Q	Q		
86	86		8600
86.1	861	01	8601
86.10	8610	10	8610
86.2	862	20	8620
86.21	8620	21	8621
86.22	8620	22	8622
86.23	8620	23	8623
86.9	869	09	8609
86.90	8690	90	8690
87	87		8700
87.1	871	01	8701
87.10	8710	10	8710
87.2	872	02	8702
87.20	8720	20	8720
87.3	873	03	8703
87.30	8730	30	8730
87.9	879	09	8709
87.90	8790	90	8790
88	88		8800
88.1	881	01	8801
88.10	8810	10	8810
88.9	889	90	8890
88.91	8890	91	8891
88.99	8890	99	8899
R	R		
90	90		90
90.0	900	0	900
90.01	9000	01	9001
90.02	9000	02	9002
90.03	9000	03	9003
90.04	9000	04	9004
91	91		91
91.0	910	0	910
91.01	9101	01	9101
91.02	9102	02	9102
91.03	9102	03	9103
91.04	9103	04	9104
92	92		92
92.0	920	0	920
92.00	9200	0	9200
93	93		9300
93.1	931	10	9310
93.11	9311	11	9311
93.12	9312	12	9312
93.13	9311	13	9313
93.19	9319	19	9319
93.2	932	20	9320
93.21	9321	21	9321
93.29	9329	29	9329
S	S		
94	94		9400
94.1	941	10	9410
94.11	9411	11	9411
94.12	9412	12	9412
94.2	942	02	9402
94.20	9420	20	9420
94.9	949	90	9490
94.91	9491	91	9491
94.92	9492	92	9492
94.99	9499	99	9499
95	95		9500
95.1	951	10	9510
95.11	9511	11	9511
95.12	9512	12	9512
95.2	952	20	9520
95.21	9521	21	9521
95.22	9522	22	9522
95.23	9523	23	9523
95.24	9524	24	9524
95.25	9529	25	9525
95.29	9529	29	9529
96	96		9600
96.0	960	0	960
96.01	9601	01	9601
96.02	9602	02	9602
96.03	9603	03	9603
96.04	9609	04	9604
96.09	9609	09	9609
T	T		
97	97		97
97.0	970	0	970
97.00	9700	0	9700
98	98		9800
98.1	981	01	9801
98.10	9810	10	9810
98.2	982	02	9802
98.20	9820	20	9820
U	U		
99	99		99
99.0	990	0	990
99.00	9900	0	9900
